weight,feature
9.022915479879773,price_open_KORE
-7.3767785932222605,price_open_XWC
7.364729230987193,price_high_GOLOS
7.288364821509151,volume_DASH
-7.250165743710397,price_open_FAIR
7.209652505719855,volume_VRC
-7.030956757628247,price_low_TIX
6.917566523949837,price_close_TRUST
-6.78423786493212,price_open_NBT
-6.703417480022151,price_open_GCR
6.679990937010697,price_open_ANT
-6.624514674671754,volume_ION
6.54969212762092,volume_MONA
-6.54323397197606,volume_ZEN
-6.446337850074095,price_close_ZCL
-6.272257724124558,volume_XEL
6.139349317531983,price_open_GAM
5.929447480053221,price_close_ABY
-5.886484031547744,price_close_ENRG
5.837641956283213,volume_GLD
-5.777921132365733,price_high_ZCL
5.766652924479121,price_open_VIA
-5.718845422458924,price_high_PDC
5.485051714141259,volume_VOX
-5.411386299336188,price_close_GAM
-5.332364420506245,price_open_PPC
5.316729176787738,price_low_TRUST
5.2701393242975145,volume_NXC
5.1293436361584,price_low_GAME
-5.127259776970747,volume_LTC
-5.081651596111801,volume_APX
5.042433139987375,price_open_FLDC
5.028920409413,volume_ADT
-4.866280916827226,price_low_FTC
4.807587058329939,price_low_XWC
4.806426963432605,volume_EMC
-4.784037401143875,price_close_OK
-4.6446642221801655,volume_ETH
-4.56841904395797,price_low_ZCL
4.376404595505553,volume_XMG
4.26621891132824,volume_FUN
-4.197431073045392,price_close_MEME
4.159673639067923,price_open_DNT
4.13285218390862,price_close_INFX
-4.071121958749533,price_low_GNT
4.025649456068573,price_high_XMR
-3.963863760678171,volume_2GIVE
-3.927509202177741,price_open_GNT
3.9178667680408052,price_open_BTCD
3.8041370302345063,price_close_BSD
-3.7757164866384887,price_low_ETH
3.762491685691708,price_close_MUE
3.733151686109741,volume_SBD
3.714648684551849,price_high_KORE
-3.676847955999608,volume_ERC
3.612230358480076,volume_PAY
-3.6087545677936905,volume_MLN
-3.5679563045373084,price_low_VTC
3.508012060315359,volume_XRP
-3.422139093410301,price_open_2GIVE
3.351371145991797,price_low_ANT
3.2603203236223117,volume_XST
3.2601127046937046,volume_CRW
3.2390503267564035,volume_OK
-3.17487670949577,price_close_EXP
-3.1630195345087175,price_open_MUE
-2.9000106380205417,volume_MCO
-2.893794464787875,volume_POWR
-2.8882242797597675,volume_AEON
-2.8836599062961006,price_close_SYNX
2.8192765910084283,price_high_BTCD
-2.7786135389160433,volume_GEO
2.769393582623051,volume_BYC
-2.765118504708989,volume_GUP
2.76141186408197,volume_AUR
-2.7246512128688405,volume_EFL
2.630504931661272,volume_XVG
-2.624844532742074,price_close_AUR
-2.5978652060246517,volume_CLUB
2.4957435953132023,volume_EXCL
-2.3608177860757986,volume_DTB
-2.33063006358213,price_high_MLN
-2.288518821265194,volume_MUSIC
-2.2677978901236258,volume_RISE
2.2450570912395236,price_close_BRX
2.215171460606928,price_low_BCY
-2.204034169682485,volume_DNT
2.200008662778178,volume_XMY
-2.044387429012409,price_open_BAY
1.7557929899521514,price_open_FUN
1.5539339217018768,price_open_QRL
-1.548672935131536,volume_SEQ
-1.504757198119867,volume_AMP
1.2965988547897358,volume_MER
