weight,feature
9.261070029550789,price_open_LTC
-3.2757984232110378,price_close_LTC
-3.2757984232110378,price_high_LTC
-3.2757984232110378,price_low_LTC
1.1813057997092846,price_open_DCR
-1.0559556445181415,price_open_RISE
-1.0204275235150457,price_open_THC
-1.008929822382808,price_open_QTUM
-0.9869495486603532,price_open_LSK
-0.9727121418171941,price_open_BAT
0.8775363325805645,price_open_BURST
-0.8658359147150227,price_open_STRAT
-0.8364685020138608,price_open_MCO
-0.8116115343002553,price_open_SALT
0.7871020169738798,price_open_FTC
-0.7266375934037723,price_open_MUSIC
-0.687128317304791,price_open_REP
-0.6393602849156481,price_open_KMD
0.6269117341470768,price_open_NBT
-0.6021938313203402,price_open_EXP
-0.5932356158731665,price_open_MONA
-0.5787629845620915,price_open_MTL
-0.531465193841185,price_open_DGB
0.5175374086122109,price_open_XEM
-0.5167599624685048,price_open_XEL
-0.49856741038234226,price_open_EMC2
0.49572948893509144,price_open_BNT
-0.4687665951514374,price_open_ETH
0.4333560001119147,price_open_MYST
-0.41826552100961534,price_open_ADA
-0.40127445650556554,price_close_DCR
-0.40127445650556554,price_high_DCR
-0.40127445650556554,price_low_DCR
-0.3891440028894796,price_open_NXT
-0.38292262228719914,price_open_BITB
-0.37600802626675467,price_open_CANN
-0.3710700412142871,price_open_XVG
0.3675738650831124,price_close_RISE
0.3675738650831124,price_high_RISE
0.3675738650831124,price_low_RISE
0.3631818781486858,price_open_GRS
-0.36171220223112743,price_open_ADX
-0.36047728321788214,price_open_PAY
0.3396406655475856,price_close_LSK
0.3396406655475856,price_high_LSK
0.3396406655475856,price_low_LSK
0.3367704941208541,price_open_IOP
0.3351188501419571,price_open_TRIG
0.33290027046682313,price_open_BTG
0.328670084686741,price_open_FUN
-0.3256940152470185,price_open_ZCL
0.3248388130154405,price_open_MAID
-0.32456225805950645,price_open_VOX
-0.3163984354762002,price_open_BLK
-0.31365632664942267,price_open_1ST
0.3130752151439431,price_open_XMY
-0.3121541018138235,price_open_XMR
-0.303668022238803,price_open_RCN
0.3013329853770242,price_close_QTUM
0.3013329853770242,price_high_QTUM
0.3013329853770242,price_low_QTUM
-0.295964639387045,price_open_VIB
0.29540996411713666,price_close_THC
0.29540996411713666,price_high_THC
0.29540996411713666,price_low_THC
0.2930584551662559,price_close_SALT
0.2930584551662559,price_high_SALT
0.2930584551662559,price_low_SALT
-0.2878780054148964,price_open_ETC
-0.2876438045751827,price_open_XLM
-0.2865130893581177,price_open_EDG
0.2779033742534308,price_close_STRAT
0.2779033742534308,price_high_STRAT
0.2779033742534308,price_low_STRAT
-0.2711489651883346,price_close_BURST
-0.2711489651883346,price_high_BURST
-0.2711489651883346,price_low_BURST
0.2701517324542163,price_open_STEEM
-0.26832120807076204,price_open_GAME
0.2592248929534104,price_close_MCO
0.2592248929534104,price_high_MCO
0.2592248929534104,price_low_MCO
-0.25907989721891955,price_open_CFI
-0.2544339553200297,price_open_ARK
0.2516317841858307,price_close_DGB
0.2516317841858307,price_high_DGB
0.2516317841858307,price_low_DGB
-0.25110156623952984,price_open_DOGE
-0.24949921125093033,price_open_OMG
0.24463557178989107,price_close_BAT
0.24463557178989107,price_high_BAT
0.24463557178989107,price_low_BAT
-0.24188257504204103,price_close_FTC
-0.24188257504204103,price_high_FTC
-0.24188257504204103,price_low_FTC
0.23724222646875892,price_open_FCT
0.2362553576409191,price_close_MUSIC
0.2362553576409191,price_high_MUSIC
0.2362553576409191,price_low_MUSIC
0.2288785881281901,price_close_REP
0.2288785881281901,price_high_REP
0.2288785881281901,price_low_REP
0.22637053746719502,price_close_XLM
0.22637053746719502,price_high_XLM
0.22637053746719502,price_low_XLM
0.22318379028211827,price_close_ETH
0.22318379028211827,price_high_ETH
0.22318379028211827,price_low_ETH
0.21870742142824612,price_close_KMD
0.21870742142824612,price_high_KMD
0.21870742142824612,price_low_KMD
-0.2175155241783211,price_open_WAVES
-0.21168742093079876,price_close_NBT
-0.21168742093079876,price_high_NBT
-0.21168742093079876,price_low_NBT
-0.2090840815634054,price_open_PTOY
-0.2046233098986494,price_open_GUP
-0.20328375911924035,price_close_XEM
-0.20328375911924035,price_high_XEM
-0.20328375911924035,price_low_XEM
0.19617411630778822,price_open_UNB
0.19561931554860548,price_close_EMC2
0.19561931554860548,price_high_EMC2
0.19561931554860548,price_low_EMC2
0.188089030180673,price_close_MTL
0.188089030180673,price_high_MTL
0.188089030180673,price_low_MTL
-0.18806360111057915,price_open_SNT
-0.1839636035088135,price_open_SBD
0.17968715432084437,price_close_XEL
0.17968715432084437,price_high_XEL
0.17968715432084437,price_low_XEL
-0.1791540884087754,price_open_GNT
-0.17659549149077042,price_open_UBQ
-0.16830844429703948,price_open_VTC
0.16829364776133623,price_close_BITB
0.16829364776133623,price_high_BITB
0.16829364776133623,price_low_BITB
-0.16797940007784276,price_close_BNT
-0.16797940007784276,price_high_BNT
-0.16797940007784276,price_low_BNT
-0.16726125432731823,price_open_NXS
0.1603729753976695,price_close_ADX
0.1603729753976695,price_high_ADX
0.1603729753976695,price_low_ADX
-0.16006769697297363,price_open_DASH
0.1573878986034252,price_close_EXP
0.1573878986034252,price_high_EXP
0.1573878986034252,price_low_EXP
0.15670792698694713,price_close_NXT
0.15670792698694713,price_high_NXT
0.15670792698694713,price_low_NXT
0.15623614304594163,price_close_MONA
0.15623614304594163,price_high_MONA
0.15623614304594163,price_low_MONA
0.15577490164925537,price_open_ENG
-0.14084036975850217,price_close_GRS
-0.14084036975850217,price_high_GRS
-0.14084036975850217,price_low_GRS
